label,message
fraud,urgent your paytm kyc is incomplete update immediately to avoid suspension
fraud,congratulations you have won rs in google pay lucky draw claim now
fraud,your sbi bank account will be blocked today verify details immediately
fraud,aadhaar card not linked click link to update now
fraud,instant loan approved without documents apply now
fraud,your atm card has been blocked contact customer care urgently
fraud,income tax refund of rs pending verify account details
fraud,your pan card is suspended update information now
fraud,free recharge of rs available click here to claim
fraud,you are selected for iphone lucky draw confirm now
fraud,suspicious activity detected in your bank account login now
fraud,kyc pending for phone number services will stop today
fraud,win cash prize by spinning the wheel register now
fraud,your upi will be blocked verify pin immediately
fraud,claim covid relief fund now limited time offer
fraud,electricity bill unpaid pay immediately to avoid disconnection
fraud,insurance policy expired renew now to avoid penalty
fraud,you won flipkart festival prize click link
fraud,bank alert unusual transaction detected verify now
fraud,update voter id details urgently
fraud,loan cashback credited confirm your bank details
fraud,prize money waiting for you submit details now
fraud,your sim card will be deactivated today
fraud,free gift voucher claim before expiry
fraud,whatsapp account verification failed login now
