label,message
safe,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat
safe,ok lar joking wif u oni
fraud,free entry in a wkly comp to win fa cup final tkts st may text fa to to receive entry questionstd txt ratetcs apply overs
safe,u dun say so early hor u c already then say
safe,nah i dont think he goes to usf he lives around here though
fraud,freemsg hey there darling its been weeks now and no word back id like some fun you up for it still tb ok xxx std chgs to send to rcv
safe,even my brother is not like to speak with me they treat me like aids patent
safe,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune
fraud,winner as a valued network customer you have been selected to receivea prize reward to claim call claim code kl valid hours only
fraud,had your mobile months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on
safe,im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today
fraud,six chances to win cash from to pounds txt csh and send to cost pday days tsandcs apply reply hl info
fraud,urgent you have won a week free membership in our prize jackpot txt the word claim to no tc wwwdbuknet lccltd pobox ldnwarw
safe,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times
safe,i have a date on sunday with will
fraud,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
safe,oh kim watching here
safe,eh u remember how spell his name yes i did he v naughty make until i v wet
safe,fine if thats the way u feel thats the way its gota b
fraud,england v macedonia dont miss the goalsteam news txt ur national team to eg england to trywales scotland txt poboxoxwwq
safe,is that seriously how you spell his name
safe,im going to try for months ha ha only joking
safe,so pay first lar then when is da stock comin
safe,aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch already
safe,ffffffffff alright no way i can meet up with you sooner
safe,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol
safe,lol your always so convincing
safe,did you catch the bus are you frying an egg did you make a tea are you eating your moms left over dinner do you feel my love
safe,im back amp were packing the car now ill let you know if theres room
safe,ahhh work i vaguely remember that what does it feel like lol
safe,wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us
safe,yeah he got in at and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till but we wont go there not doing too badly cheers you
safe,k tell me anything about you
safe,for fear of fainting with the of all that housework you just did quick have a cuppa
fraud,thanks for your subscription to ringtone uk your mobile will be charged month please confirm by replying yes or no if you reply no you will not be charged
safe,yup ok i go home look at the timings then i msg again xuhui going to learn on nd may too but her lesson is at am
safe,oops ill let you know when my roommates done
safe,i see the letter b on my car
safe,anything lor u decide
safe,hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything
safe,pls go ahead with watts i just wanted to be sure do have a great weekend abiola
safe,did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy
fraud,rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now for delivery tomorrow
safe,who are you seeing
safe,great i hope you like your man well endowed i am ltgt inches
safe,no callsmessagesmissed calls
safe,didnt you get hep b immunisation in nigeria
safe,fair enough anything going on
safe,yeah hopefully if tyler cant do it i could maybe ask around a bit
safe,u dont know how stubborn i am i didnt even want to go to the hospital i kept telling mark im not a weak sucker hospitals are for weak suckers
safe,what you thinked about me first time you saw me in class
safe,a gram usually runs like ltgt a half eighth is smarter though and gets you almost a whole second gram for ltgt
safe,k fyi x has a ride early tomorrow morning but hes crashing at our place tonight
safe,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave im sorry i didnt and dont have more to give im sorry i offered im sorry your room was so embarassing
fraud,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv
safe,do you know what mallika sherawat did yesterday find out now lturlgt
fraud,congrats year special cinema pass for is yours call now c suprman v matrix starwars etc all free bxipwe pm dont miss out
safe,sorry ill call later in meeting
safe,tell where you reached
safe,yesgauti and sehwag out of odi series
safe,your gonna have to pick up a burger for yourself on your way home i cant even move pain is killing me
safe,ha ha ha good joke girls are situation seekers
safe,its a part of checking iq
safe,sorry my roommates took forever it ok if i come by now
safe,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice
fraud,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a bonus prize call
safe,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me
fraud,urgent ur awarded a complimentary trip to eurodisinc trav acoentry or to claim txt dis to morefrmmob shracomorsglsuplt ls aj
fraud,did you hear about the new divorce barbie it comes with all of kens stuff
safe,i plane to give on this month end
safe,wah lucky man then can save money hee
safe,finished class where are you
safe,hi babe im at home now wanna do something xx
safe,kkwhere are youhow did you performed
safe,u can call me now
safe,i am waiting machan call me once you free
safe,thats cool i am a gentleman and will treat you with dignity and respect
safe,i like you peoples very much but am very shy pa
safe,does not operate after ltgt or what
safe,its not the same here still looking for a job how much do tas earn there
safe,sorry ill call later
safe,k did you call me just now ah
safe,ok i am on the way to home hi hi
safe,you will be in the place of that man
safe,yup next stop
safe,i call you later dont have network if urgnt sms me
safe,for real when u getting on yo i only need more tickets and one more jacket and im done i already used all my multis
